Date,Country,City,State,Shape,Summary,lat,lon
16-12-12-18-50,USA,West Collingswood,NJ,Sphere,REDACTED,39.9062242,-75.0929516
16-12-12-18-30,USA,South Lake Tahoe,CA,Light,REDACTED,38.929125,-119.9878464
16-12-12-17-32,USA,Salem,OR,Other,REDACTED,44.9391565,-123.0331209
16-12-12-07-30,USA,Eden Prairie,MN,Light,REDACTED,44.8454356,-93.5297242
16-12-12-06-20,USA,Smithville,MO,Circle,REDACTED,39.3869442,-94.5810658
16-11-12-22-30,USA,Casey,IA,Light,REDACTED,41.5049873,-94.5194148
16-11-12-20-00,USA,St. George,UT,Other,REDACTED,37.104153,-113.5841312
16-11-12-18-00,USA,Fort Collins,CO,Other,REDACTED,40.5508527,-105.0668084
16-11-12-17-45,USA,Helena,MT,Sphere,REDACTED,46.5927122,-112.0361089
16-11-12-16-00,USA,Independence,LA,Light,REDACTED,37.2242358,-95.708313
16-11-12-14-00,USA,Chester,PA,Formation,REDACTED,39.849557,-75.3557457
16-11-12-08-56,USA,Trabuco Canyon,CA,Sphere,REDACTED,33.6626232,-117.5893799
16-11-12-06-15,USA,Gallatin Gateway,MT,Circle,REDACTED,45.5915958,-111.1977303
16-10-12-23-47,USA,Hot Springs,SD,Circle,REDACTED,43.431646,-103.4743629
16-10-12-22-00,USA,Erving,MA,Flash,REDACTED,42.6000863,-72.3981415
16-10-12-21-00,USA,Farragut,TN,Light,REDACTED,35.8845238,-84.153526
16-10-12-21-00,USA,Delta,CO,Fireball,REDACTED,38.8368777,-107.8568293
16-10-12-20-41,USA,Virginia Beach,VA,Cigar,REDACTED,36.8529841,-75.9774182
16-10-12-18-52,USA,Kayenta,AZ,Disk,REDACTED,36.717954,-110.2606012
16-10-12-18-30,USA,Lahaina,HI,Rectangle,REDACTED,20.872684,-156.6762728
16-10-12-18-15,USA,Navajo,NM,Light,REDACTED,35.9040858,-109.0335346
16-10-12-18-00,USA,Santa Fe,NM,Formation,REDACTED,35.6869996,-105.9377996
16-10-12-08-40,USA,Arlington,VA,Oval,REDACTED,38.8903961,-77.0841584
16-10-12-08-37,USA,Hickory,NC,Cone,REDACTED,35.7331895,-81.3412005
16-10-12-07-12,USA,Pearland,TX,Oval,REDACTED,29.5639758,-95.2864298
16-09-12-22-00,USA,Phoenix,AZ,Unknown,REDACTED,33.4485866,-112.0773455
16-09-12-21-50,USA,Portland,OR,Flash,REDACTED,45.5202471,-122.6741948
16-09-12-21-39,USA,Oldsmar,FL,Sphere,REDACTED,28.06906015,-82.6501914
